0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-1080.0,-10060.0,-11180.0,-24539.0,-16019.0,3045.0,684.0,-10656.0,4916.0,-10110.0,-1593.0,32767.0,-1936.0,14080.0,560.0,22175.0,7006.0,26879.0
-1696.0,-8704.0,-12404.0,-24768.0,-17047.0,1538.0,-48.0,-10744.0,4884.0,-9543.0,-3677.0,32485.0,92.0,13092.0,1416.0,17858.0,7657.0,28315.0
-1284.0,-8148.0,-11452.0,-22318.0,-15050.0,1243.0,620.0,-12464.0,4404.0,-6166.0,-2816.0,31241.0,-1884.0,13424.0,4276.0,14408.0,8950.0,27800.0
-2472.0,-7464.0,-10980.0,-19781.0,-16060.0,1440.0,1524.0,-14064.0,3620.0,-4149.0,-4070.0,31168.0,1064.0,11684.0,-844.0,14069.0,8886.0,29063.0
-4184.0,-7600.0,-11444.0,-18800.0,-17233.0,1709.0,-572.0,-12932.0,4484.0,-310.0,-3691.0,31408.0,2004.0,10224.0,4560.0,15961.0,6462.0,28552.0
-3736.0,-6472.0,-11132.0,-17779.0,-16150.0,1096.0,-2460.0,-10180.0,6232.0,1441.0,-3812.0,30503.0,5236.0,12312.0,-1216.0,13616.0,10448.0,27323.0
-3496.0,-7840.0,-11032.0,-17212.0,-16387.0,-365.0,-4304.0,-7976.0,7792.0,37.0,-4392.0,28420.0,2352.0,14372.0,-240.0,10586.0,11651.0,22945.0
-5532.0,-6564.0,-11284.0,-15183.0,-15645.0,-109.0,-1776.0,-11760.0,5972.0,-159.0,-6404.0,26926.0,4332.0,12204.0,4280.0,7963.0,12165.0,26220.0
-5136.0,-5648.0,-11100.0,-14211.0,-15016.0,-116.0,-3200.0,-11272.0,6484.0,2964.0,-5880.0,27567.0,3404.0,12360.0,1812.0,8653.0,11204.0,23091.0
-6796.0,-6760.0,-11536.0,-13056.0,-15804.0,-1292.0,-6296.0,-9824.0,6948.0,3070.0,-6578.0,26590.0,9660.0,11312.0,1376.0,4726.0,11593.0,21901.0
-6476.0,-6376.0,-10464.0,-10000.0,-15897.0,-1207.0,-6644.0,-7320.0,6208.0,5344.0,-6908.0,23127.0,7468.0,12584.0,-2596.0,3788.0,12850.0,16718.0
-8032.0,-4612.0,-10520.0,-8440.0,-13304.0,-2271.0,-4456.0,-8204.0,11156.0,3537.0,-7910.0,21917.0,6244.0,12308.0,7188.0,-320.0,14472.0,17572.0
-8928.0,-6440.0,-10048.0,-8818.0,-14926.0,-3049.0,-6372.0,-9072.0,8208.0,6638.0,-8557.0,23262.0,9172.0,11016.0,5684.0,2487.0,12576.0,15799.0
-8900.0,-6356.0,-9556.0,-7955.0,-13533.0,-4214.0,-6724.0,-6396.0,11416.0,6002.0,-10876.0,21798.0,8100.0,12464.0,5572.0,3475.0,13240.0,14201.0
-9284.0,-6796.0,-9132.0,-7411.0,-12265.0,-4158.0,-4600.0,-4548.0,16228.0,5541.0,-8142.0,19774.0,6716.0,14048.0,7664.0,2883.0,11769.0,15636.0
-10384.0,-7264.0,-9472.0,-6214.0,-10758.0,-3430.0,-5300.0,-7252.0,13464.0,4364.0,-6664.0,18743.0,10464.0,12212.0,3124.0,1677.0,14143.0,13897.0
-11260.0,-7708.0,-8864.0,-5609.0,-10542.0,-4415.0,-7628.0,-7352.0,11684.0,6303.0,-8461.0,18446.0,8116.0,13456.0,8552.0,-98.0,15637.0,12881.0
-10480.0,-7680.0,-9224.0,-4919.0,-10309.0,-4222.0,-5444.0,-6428.0,13492.0,7101.0,-7966.0,17441.0,9048.0,12860.0,7344.0,288.0,13611.0,12943.0
-11084.0,-6756.0,-9660.0,-4052.0,-8683.0,-4210.0,-6800.0,-5756.0,15312.0,6062.0,-7584.0,16065.0,9108.0,13328.0,3688.0,1184.0,13958.0,11731.0
-11776.0,-6536.0,-8872.0,-3608.0,-9569.0,-4655.0,-7808.0,-7196.0,11084.0,6725.0,-9018.0,16838.0,10184.0,11256.0,8584.0,1549.0,14578.0,11273.0
-10664.0,-6560.0,-9276.0,-4807.0,-9934.0,-5407.0,-8512.0,-4620.0,13344.0,6334.0,-10650.0,15447.0,10692.0,13028.0,3044.0,5364.0,16029.0,10447.0
-10836.0,-7572.0,-8964.0,-4377.0,-8320.0,-5751.0,-7544.0,-4320.0,14200.0,8500.0,-9826.0,13451.0,9840.0,13592.0,4872.0,94.0,18694.0,7780.0
-11344.0,-7680.0,-9380.0,-1674.0,-7684.0,-4787.0,-6736.0,-4732.0,16436.0,8371.0,-9069.0,11619.0,9544.0,13712.0,7684.0,788.0,13653.0,7594.0
